codigo,estacao,timestamp,bacia,latitude,longitude,regiao,altitude,chuva_1h_mm,chuva_6h_mm,chuva_12h_mm,chuva_24h_mm,chuva_48h_mm,rio_nivel_m,rio_tendencia
DCRS-00053,Arambaré,2026-07-26T12:57:19.000+00:00,RS - Rio Camaquã,-30.906400680541992,-51.49259948730469,Metropolitana de Porto Alegre,,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.7400000095367432,0.0007692307699471712
DCRS-00054,Barra do Ribeiro - Lago Guaíba,2026-07-26T12:57:12.000+00:00,RS - Lago Guaíba,-30.29450035095215,-51.29880142211914,Metropolitana de Porto Alegre,,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.0399999618530273,-0.0007692307699471712
DCRS-00055,Santa Cruz do Sul / Venâncio Aires,2026-07-26T12:57:19.000+00:00,RS - Rio Taquari-Antas,-29.56570053100586,-52.324798583984375,Centro Oriental Rio-grandense,,0.0,0.0,0.0,0.0,0.0,49.33000183105469,-0.0007692307699471712
DCRS-00056,Maquiné - Rio Forqueta,2026-07-26T12:57:16.000+00:00,RS - Rio Tramandaí,-29.58060073852539,-50.27840042114258,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,52.689998626708984,-0.0930769219994545
DCRS-00057,Cotiporã - Dois Lajeados,2026-07-26T12:57:19.000+00:00,RS - Rio Taquari-Antas,-28.99570083618164,-51.75469970703125,Nordeste Rio-grandense,,0.0,0.0,0.0,0.0,0.4000000059604645,96.98999786376953,-0.003076923079788685
DCRS-00058,Toropi/São Pedro do Sul,2026-07-26T12:57:17.000+00:00,RS - Rio Ibicuí,-29.490999221801758,-54.22600173950195,Centro Ocidental Rio-grandense,,0.0,0.0,0.0,0.0,0.20000000298023224,102.31999969482422,-0.0007692307699471712
DCRS-00059,Santa Rosa - Pessegueiro,2026-07-26T12:57:19.000+00:00,RS - Rios Turvo – Santa Rosa – Santo Cristo,-27.878400802612305,-54.49129867553711,Noroeste Rio-grandense,,1.090000033378601,2.490000009536743,2.490000009536743,2.490000009536743,3.4800000190734863,213.1699981689453,0.033076923340559006
DCRS-00060,Barra do Rio Azul - Rio Palomas,2026-07-26T12:57:15.000+00:00,RS - Rios Apuaê – Inhandava,-27.40959930419922,-52.41450119018555,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,3.0,420.57000732421875,0.009230769239366055
DCRS-00061,Cacique Doble,2026-07-26T12:57:20.000+00:00,RS - Rios Apuaê – Inhandava,-27.76650047302246,-51.66669845581055,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,2.200000047683716,612.2899780273438,0.0007692307699471712
DCRS-00062,Pelotas - Arroio Pelotas,2026-07-26T12:57:18.000+00:00,RS - Lagoa Mirim e do Canal São Gonçalo,-31.59280014038086,-52.4114990234375,Sudeste Rio-grandense,,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,19.75,0.004615384619683027
